=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.20 16:23:03 =~=~=~=~=~=~=~=~=~=~=~=
: 0.a, 0.94 atm
Difference : 1215.00, Time : 3.30

99326.00 Pa, 0.98 atm
Difference : 759.00, Time : 3.40

100990.00 Pa, 1.00 atm
Difference : 1664.00, Time : 3.50

102299.00 Pa, 1.01 atm
Difference : 1309.00, Time : 3.60

103943.00 Pa, 1.03 atm
Difference : 1644.00, Time : 3.70

106224.00 Pa, 1.05 atm
Difference : 2281.00, Time : 3.80

106709.00 Pa, 1.05 atm
Difference : 485.00, Time : 3.90

106483.00 Pa, 1.05 atm
Difference : -226.00, Time : 4.00

106184.00 Pa, 1.05 atm
Difference : -299.00, Time : 4.10

106525.00 Pa, 1.05 atm
Difference : 341.00, Time : 4.20

106427.00 Pa, 1.05 atm
Difference : -98.00, Time : 4.30

106395.00 Pa, 1.05 atm
Difference : -32.00, Time : 4.40

106491.00 Pa, 1.05 atm
Difference : 96.00, Time : 4.50

106841.00 Pa, 1.05 atm
Difference : 350.00, Time : 4.60

106964.00 Pa, 1.06 atm
Difference : 123.00, Time : 4.70

106904.00 Pa, 1.06 atm
Difference : -60.00, Time : 4.80

106819.00 Pa, 1.05 atm
Difference : -85.00, Time : 4.90

107474.00 Pa, 1.06 atm
Difference : 655.00, Time : 5.00

107572.00 Pa, 1.06 atm
Difference : 98.00, Time : 5.10

107715.00 Pa, 1.06 atm
Difference : 143.00, Time : 5.20

107571.00 Pa, 1.06 atm
Difference : -144.00, Time : 5.30

107494.00 Pa, 1.06 atm
Difference : -77.00, Time : 5.40

107374.00 Pa, 1.06 atm
Difference : -120.00, Time : 5.50

107536.00 Pa, 1.06 atm
Difference : 162.00, Time : 5.60

108013.00 Pa, 1.07 atm
Difference : 477.00, Time : 5.70

107753.00 Pa, 1.06 atm
Difference : -260.00, Time : 5.80

102252.00 Pa, 1.01 atm
Difference : -5501.00, Time : 5.90

94975.00 Pa, 0.94 atm
Difference : -7277.00, Time : 6.00

94972.00 Pa, 0.94 atm
Difference : -3.00, Time : 6.10

94966.00 Pa, 0.94 atm
Difference : -6.00, Time : 6.20

94973.00 Pa, 0.94 atm
Difference : 7.00, Time : 6.30

94971.00 Pa, 0.94 atm
Difference : -2.00, Time : 6.40

94973.00 Pa, 0.94 atm
Difference : 2.00, Time : 6.50

94970.00 Pa, 0.94 atm
Difference : -3.00, Time : 6.60

94972.00 Pa, 0.94 atm
Difference : 2.00, Time : 6.70

94976.00 Pa, 0.94 atm
Difference : 4.00, Time : 6.80

94976.00 Pa, 0.94 atm
Difference : 0.00, Time : 6.90

94975.00 Pa, 0.94 atm
Difference : -1.00, Time : 7.00

94967.00 Pa, 0.94 atm
Difference : -8.00, Time : 7.10

94975.00 Pa, 0.94 atm
Difference : 8.00, Time : 7.20

94971.00 Pa, 0.94 atm
Difference : -4.00, Time : 7.30

94975.00 Pa, 0.94 atm
Difference : 4.00, Ti
